epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,186.064,4.50015,0.05657,0.17879,4.32334,3.51804e-05,3.51804e-05,3.51804e-05
2,365.469,4.15132,0.25455,0.5596,3.76657,6.91175e-05,6.91175e-05,6.91175e-05
3,548.111,3.5742,0.46162,0.7798,2.91043,0.000101655,0.000101655,0.000101655
4,807.801,2.90111,0.58586,0.87273,2.20813,9.97036e-05,9.97036e-05,9.97036e-05
5,963.545,2.36035,0.66162,0.90808,1.75585,9.76048e-05,9.76048e-05,9.76048e-05
6,1118.68,1.9847,0.69697,0.92929,1.47386,9.5506e-05,9.5506e-05,9.5506e-05
7,1271.62,1.71768,0.71414,0.93737,1.29557,9.34072e-05,9.34072e-05,9.34072e-05
8,1391.97,1.50712,0.74444,0.94444,1.16239,9.13084e-05,9.13084e-05,9.13084e-05
9,1532.39,1.38207,0.74545,0.95152,1.07534,8.92096e-05,8.92096e-05,8.92096e-05
10,1657.31,1.26414,0.76061,0.96162,0.98883,8.71108e-05,8.71108e-05,8.71108e-05
11,1785,1.15131,0.78283,0.95758,0.92296,8.5012e-05,8.5012e-05,8.5012e-05
12,1903.24,1.07694,0.77677,0.96667,0.87658,8.29132e-05,8.29132e-05,8.29132e-05
13,2098.33,1.00386,0.79394,0.96566,0.83733,8.08144e-05,8.08144e-05,8.08144e-05
14,2228.88,0.93817,0.80707,0.96869,0.80818,7.87156e-05,7.87156e-05,7.87156e-05
15,2347.21,0.90868,0.81414,0.97172,0.7797,7.66168e-05,7.66168e-05,7.66168e-05
16,2457.35,0.853,0.80909,0.97475,0.74418,7.4518e-05,7.4518e-05,7.4518e-05
17,2579.99,0.81867,0.81313,0.97677,0.71999,7.24192e-05,7.24192e-05,7.24192e-05
18,2704.72,0.78957,0.8202,0.9798,0.70244,7.03204e-05,7.03204e-05,7.03204e-05
19,2836.55,0.74306,0.82323,0.97879,0.68762,6.82216e-05,6.82216e-05,6.82216e-05
20,2969.78,0.71173,0.8202,0.97677,0.67247,6.61228e-05,6.61228e-05,6.61228e-05
21,3109.91,0.68491,0.83636,0.97677,0.65607,6.4024e-05,6.4024e-05,6.4024e-05
22,3251.22,0.6647,0.82323,0.97778,0.64759,6.19252e-05,6.19252e-05,6.19252e-05
23,3393.34,0.63537,0.83232,0.97677,0.64523,5.98264e-05,5.98264e-05,5.98264e-05
24,3532.43,0.62818,0.83636,0.97778,0.63365,5.77276e-05,5.77276e-05,5.77276e-05
25,23012,0.59409,0.8404,0.97576,0.61392,5.56288e-05,5.56288e-05,5.56288e-05
26,23127.9,0.58863,0.84141,0.97374,0.61548,5.353e-05,5.353e-05,5.353e-05
27,23258.4,0.56708,0.84646,0.97778,0.60463,5.14312e-05,5.14312e-05,5.14312e-05
28,23392.7,0.58686,0.84343,0.97778,0.59754,4.93324e-05,4.93324e-05,4.93324e-05
29,23583,0.55988,0.8404,0.97677,0.60324,4.72336e-05,4.72336e-05,4.72336e-05
30,23715.7,0.53453,0.83838,0.97677,0.58784,4.51348e-05,4.51348e-05,4.51348e-05
31,23845,0.51499,0.84646,0.97778,0.59052,4.3036e-05,4.3036e-05,4.3036e-05
32,23999.1,0.51403,0.84242,0.97778,0.58595,4.09372e-05,4.09372e-05,4.09372e-05
33,24156.3,0.51647,0.84646,0.97677,0.58046,3.88384e-05,3.88384e-05,3.88384e-05
34,31553.1,0.48351,0.85354,0.97778,0.57114,3.67396e-05,3.67396e-05,3.67396e-05
35,31760.6,0.49934,0.84848,0.97778,0.57371,3.46408e-05,3.46408e-05,3.46408e-05
36,31978.6,0.48453,0.85253,0.97576,0.57167,3.2542e-05,3.2542e-05,3.2542e-05
37,32180.1,0.47231,0.85758,0.97576,0.56419,3.04432e-05,3.04432e-05,3.04432e-05
38,32503.3,0.45995,0.85455,0.97374,0.56427,2.83444e-05,2.83444e-05,2.83444e-05
39,32671.6,0.45335,0.85253,0.97576,0.56404,2.62456e-05,2.62456e-05,2.62456e-05
40,32846,0.46194,0.85758,0.97576,0.55551,2.41468e-05,2.41468e-05,2.41468e-05
